,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
6681,6681,0.79,0.53,11,-8.088,0,0.181,0.0596,0.0,0.174,0.58,140.026,audio_features,162821,4,Underground Rap,All on Me,, All on Me
1844,1844,0.611,0.726,7,-8.411,1,0.0718,0.0687,9.98e-06,0.254,0.173,128.001,audio_features,142576,4,Dark Trap,BackstreetBoy,, BackstreetBoy
12389,12389,0.57,0.821,2,-4.38,1,0.267,0.178,0.0,0.289,0.408,210.857,audio_features,225560,4,RnB,Buttons,, Buttons
5442,5442,0.8390000000000001,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.8140000000000001,129.014,audio_features,209269,4,Underground Rap,Drowning (feat. Kodak Black),, Drowning (feat. Kodak Black)
20892,20892,0.7559999999999999,0.916,2,-7.9860000000000015,1,0.0355,0.000129,0.903,0.0993,0.0367,129.999,audio_features,420928,4,techno,,techno. only. (08/02),techno. only. (08/02) 
4593,4593,0.8809999999999999,0.408,8,-12.453,1,0.3,0.462,1.16e-06,0.117,0.334,107.517,audio_features,116114,4,Underground Rap,Mr. Grizzley,, Mr. Grizzley
13653,13653,0.612,0.8,6,-4.284,1,0.1669999999999999,0.0175,0.0,0.199,0.7859999999999999,167.958,audio_features,166560,4,RnB,I Just Had Sex,, I Just Had Sex
5013,5013,0.6659999999999999,0.5770000000000001,8,-10.658,1,0.0687,0.017,0.8690000000000001,0.129,0.207,148.107,audio_features,143293,4,Underground Rap,Chernobyl,, Chernobyl
32319,32319,0.412,0.948,9,-2.525,0,0.094,0.161,0.000299,0.344,0.119,154.767,audio_features,249290,4,hardstyle,,Best Hardstyle ever made,Best Hardstyle ever made 
781,781,0.879,0.575,0,-6.915,0,0.611,0.00225,0.0,0.242,0.8440000000000001,140.028,audio_features,106286,4,Dark Trap,ONMYGRANNYKIDS,, ONMYGRANNYKIDS
32366,32366,0.598,0.866,3,-5.855,0,0.128,0.0816,0.206,0.0652,0.462,149.94299999999996,audio_features,338704,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
9648,9648,0.362,0.945,10,-2.651,0,0.0575,0.00131,2.51e-05,0.154,0.487,114.797,audio_features,243747,4,Emo,Monsters,, Monsters
12925,12925,0.48,0.526,5,-7.099,1,0.275,0.071,0.0,0.0879,0.374,199.662,audio_features,267733,3,RnB,I Like U,, I Like U
26259,26259,0.462,0.902,4,-3.532,0,0.0582,0.000453,0.465,0.09,0.113,140.22799999999998,audio_features,214849,4,trap,,I'm a fucking Headbanger,I'm a fucking Headbanger 
28285,28285,0.486,0.942,1,-1.644,1,0.204,0.0016,0.0052,0.256,0.284,150.752,audio_features,238500,4,trap,,HEADBANGERS:Dubstep/Riddim,HEADBANGERS:Dubstep/Riddim 
27188,27188,0.5770000000000001,0.963,7,-1.679,1,0.196,0.00138,0.0397,0.401,0.282,149.606,audio_features,230400,4,trap,,Headbangers:Dubstep/Riddim,Headbangers:Dubstep/Riddim 
3536,3536,0.589,0.588,9,-9.268,0,0.126,0.0182,0.473,0.122,0.0335,130.009,audio_features,223478,4,Dark Trap,Addicted,, Addicted
4924,4924,0.8,0.736,3,-4.277,0,0.0739,0.0199,0.000458,0.381,0.918,118.948,audio_features,133109,4,Underground Rap,Swervin,, Swervin
27451,27451,0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,150.80200000000005,audio_features,198400,4,trap,,Heavy Dubstep,Heavy Dubstep 
6578,6578,0.894,0.459,1,-6.558,1,0.4,0.163,0.0,0.218,0.517,162.112,audio_features,132187,4,Underground Rap,Red,, Red
27372,27372,0.6709999999999999,0.97,8,-2.079,1,0.0938,0.000593,0.816,0.283,0.495,148.07399999999996,audio_features,134595,4,trap,,Heavy Hitters,Heavy Hitters 
15778,15778,0.784,0.586,1,-3.417,1,0.187,0.00558,0.000286,0.106,0.6559999999999999,132.16899999999998,audio_features,171818,4,Hiphop,D'Evils,, D'Evils
12998,12998,0.7490000000000001,0.583,11,-6.375,1,0.197,0.193,0.0,0.0846,0.606,149.964,audio_features,191970,4,RnB,Spice,, Spice
5585,5585,0.6629999999999999,0.618,8,-10.447,1,0.0391,0.0465,0.000711,0.259,0.15,119.989,audio_features,144048,4,Underground Rap,"MyHeart,ItHurts (feat. Chsr)",," MyHeart,ItHurts (feat. Chsr)"
2592,2592,0.62,0.932,8,-6.303,1,0.0438,0.0132,0.721,0.148,0.0369,110.977,audio_features,211892,4,Dark Trap,Dreams,, Dreams
20071,20071,0.687,0.996,6,-3.784,0,0.0504,0.000135,0.7929999999999999,0.108,0.654,130.006,audio_features,455135,4,techno,,techno. only. (08/02),techno. only. (08/02) 
31649,31649,0.495,0.944,0,-1.727,0,0.0539,0.0212,1.4e-06,0.273,0.381,149.924,audio_features,227200,4,hardstyle,,Euphoric Hardstyle & Melodic Hardstyle,Euphoric Hardstyle & Melodic Hardstyle 
15658,15658,0.6509999999999999,0.726,8,-7.582999999999998,1,0.312,0.5760000000000001,0.0152,0.272,0.657,178.61,audio_features,266394,4,Hiphop,TROJAN HORSE,, TROJAN HORSE
31579,31579,0.604,0.934,2,-4.798,1,0.073,0.00747,0.322,0.0455,0.433,149.998,audio_features,361474,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
18716,18716,0.807,0.897,10,-7.841,0,0.0731,0.000391,0.36,0.0589,0.56,126.016,audio_features,428854,4,techhouse,,Tech House,Tech House 
20616,20616,0.693,0.975,6,-5.303,0,0.0397,0.000998,0.8540000000000001,0.142,0.4920000000000001,131.985,audio_features,350190,4,techno,,Acid Techno,Acid Techno 
24996,24996,0.551,0.971,6,-6.102,0,0.0476,6.7e-05,0.71,0.121,0.142,144.009,audio_features,460000,4,psytrance,,Psytrance 2020,Psytrance 2020 
24318,24318,0.586,0.966,11,-4.954,0,0.0405,7.59e-05,0.7170000000000001,0.07,0.314,143.02200000000005,audio_features,510210,4,psytrance,,"Psy, Goa, Full on Trance","Psy, Goa, Full on Trance "
32241,32241,0.289,0.905,4,-3.412,0,0.124,0.00115,0.00104,0.315,0.0714,155.19899999999996,audio_features,271830,4,hardstyle,,Ready2GetMaggot?,Ready2GetMaggot? 
24602,24602,0.7959999999999999,0.607,2,-10.788,1,0.0661,0.0194,0.8909999999999999,0.109,0.184,136.041,audio_features,487059,4,psytrance,,Psytrance Supernova,Psytrance Supernova 
1025,1025,0.773,0.636,1,-8.346,1,0.294,0.024,0.0,0.321,0.524,119.85,audio_features,219024,4,Dark Trap,Hearse Trip,, Hearse Trip
23728,23728,0.6579999999999999,0.922,6,-8.065,0,0.0521,0.000167,0.8029999999999999,0.241,0.0741,139.998,audio_features,450000,4,psytrance,,PsyTrance 2020 felipe,PsyTrance 2020 felipe 
11152,11152,0.741,0.7609999999999999,4,-3.871,0,0.0512,0.235,0.0,0.119,0.217,81.543,audio_features,149576,4,Rap,Poles 1469,, Poles 1469
6877,6877,0.758,0.88,9,-5.996,1,0.183,0.0232,1.3699999999999998e-05,0.528,0.5589999999999999,129.995,audio_features,247484,4,Underground Rap,Mask & da Glock,, Mask & da Glock
9614,9614,0.797,0.44,2,-6.377000000000002,1,0.202,0.0332,3.99e-05,0.14,0.31,190.006,audio_features,116224,4,Trap Metal,Gxth B!tch,, Gxth B!tch
3247,3247,0.892,0.916,2,-2.074,1,0.0498,0.0601,0.313,0.278,0.888,130.014,audio_features,119038,4,Dark Trap,Dope Deala,, Dope Deala
11768,11768,0.701,0.856,11,-5.465,1,0.219,0.239,0.0,0.106,0.563,83.98200000000001,audio_features,559533,4,Rap,Under Pressure,, Under Pressure
17038,17038,0.6970000000000001,0.923,0,-5.488,1,0.13,5.539999999999999e-05,7.25e-05,0.0497,0.69,124.99,audio_features,180480,4,techhouse,,Beatoirt Best New Tech House,Beatoirt Best New Tech House 
3815,3815,0.6890000000000001,0.444,1,-12.130999999999998,0,0.369,0.73,3.55e-06,0.16,0.455,159.90200000000004,audio_features,133016,4,Underground Rap,SEVEN CORPS,, SEVEN CORPS
15965,15965,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,audio_features,201587,4,Hiphop,How Low,, How Low
4847,4847,0.907,0.292,8,-12.389,0,0.189,0.29,6.59e-06,0.101,0.369,203.932,audio_features,141176,4,Underground Rap,Flaunt,, Flaunt
19774,19774,0.57,0.908,4,-8.451,0,0.0638,0.00134,0.145,0.11,0.0741,134.995,audio_features,417778,4,techno,,Dark Techno Rave,Dark Techno Rave 
23748,23748,0.769,0.501,11,-9.035,0,0.0658,0.0112,0.851,0.0967,0.262,137.987,audio_features,416582,4,psytrance,,PsyTrance 2020 felipe,PsyTrance 2020 felipe 
25221,25221,0.584,0.989,1,-4.204,1,0.0487,0.0001629999999999,0.695,0.691,0.1009999999999999,145.0,audio_features,436966,4,psytrance,,Psytrance 2020,Psytrance 2020 
11390,11390,0.644,0.597,6,-8.305,0,0.206,0.0167,5.41e-05,0.112,0.341,139.969,audio_features,246857,4,Rap,Yeah Yeah,, Yeah Yeah
19511,19511,0.782,0.632,2,-12.12,1,0.0526,0.0125,0.841,0.09,0.0702,124.009,audio_features,423004,4,techno,,Techno,Techno 
31669,31669,0.568,0.913,6,-3.822,0,0.0397,0.0077,0.136,0.4270000000000001,0.191,150.014,audio_features,217350,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
30212,30212,0.3329999999999999,0.836,10,-3.273,0,0.114,0.000531,0.252,0.162,0.049,175.025,audio_features,400000,4,dnb,,UKF Drum & Bass - All Uploads,UKF Drum & Bass - All Uploads 
18090,18090,0.778,0.933,9,-5.718999999999999,1,0.214,0.00195,0.807,0.602,0.535,124.993,audio_features,361070,4,techhouse,,tech house,tech house 
26723,26723,0.619,0.977,5,-1.143,0,0.157,0.016,0.005,0.182,0.54,149.687,audio_features,211207,4,trap,,HEADBANGERS:Dubstep/Riddim,HEADBANGERS:Dubstep/Riddim 
2221,2221,0.598,0.84,6,-7.292999999999998,1,0.041,0.0846,0.12,0.343,0.469,159.93,audio_features,267000,4,Dark Trap,Blue Sun,, Blue Sun
17343,17343,0.807,0.8290000000000001,2,-6.263,1,0.0884,0.000436,0.509,0.0598,0.415,121.992,audio_features,381639,4,techhouse,,Dirtybird//Techhouse by Mack\,Dirtybird//Techhouse by Mack\ 
6700,6700,0.8390000000000001,0.451,1,-11.618,1,0.392,0.0587,0.0,0.0743,0.7490000000000001,147.97799999999995,audio_features,173521,4,Underground Rap,Charades,, Charades
17193,17193,0.738,0.92,9,-6.97,0,0.0968,0.0080299999999999,0.531,0.526,0.8,124.983,audio_features,238073,4,techhouse,,Dirtybird Players,Dirtybird Players 
14345,14345,0.561,0.764,2,-6.645,0,0.138,0.373,0.0,0.157,0.598,145.158,audio_features,212147,4,Hiphop,Slow Jamz (feat. Kanye West & Jamie Foxx),, Slow Jamz (feat. Kanye West & Jamie Foxx)
31560,31560,0.541,0.941,10,-5.787999999999999,0,0.0738,0.00479,0.105,0.369,0.439,147.968,audio_features,383108,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
19338,19338,0.6659999999999999,0.863,4,-6.357,0,0.0412,7.44e-05,0.914,0.201,0.159,124.991,audio_features,401150,4,techno,,Techno,Techno 
13995,13995,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72e-05,0.3720000000000001,0.76,127.086,audio_features,236093,4,Pop,Run the World (Girls),, Run the World (Girls)
636,636,0.42,0.605,2,-5.896,0,0.0338,0.00176,0.000433,0.1,0.0762,122.369,audio_features,207097,4,Dark Trap,Sleep Paralysis,, Sleep Paralysis
